firstname,p_r_f_his,p_r_f_whi,p_r_f_bla,p_r_f_asi,p_r_f_oth
AARON,0.028798683,0.916072408,0.032638508,0.020570488,0.001919912
ABBAS,0,0.711864407,0.033898305,0.254237288,0
ABBEY,0,0.964912281,0.035087719,0,0
ABBIE,0.013513514,0.959459459,0.027027027,0,0
ABBY,0.015267176,0.946564885,0.015267176,0.022900763,0
ABDUL,0.004524887,0.443438914,0.067873303,0.475113122,0.009049774
ABDULLAH,0.022727273,0.659090909,0.090909091,0.227272727,0
ABE,0.064516129,0.774193548,0.129032258,0.032258065,0
ABEL,0.825688073,0.128440367,0.021406728,0.024464832,0
ABELARDO,0.789473684,0.092105263,0,0.118421053,0
ABHIJIT,0,0.176470588,0,0.823529412,0
ABHISHEK,0,0,0,1,0
ABIGAIL,0.122009569,0.815789474,0.014354067,0.04784689,0
ABNER,0.390243902,0.341463415,0.12195122,0.146341463,0
ABRAHAM,0.307506053,0.476997579,0.07748184,0.123486683,0.014527845
ABRAM,0.093023256,0.813953488,0.069767442,0.023255814,0
ADA,0.306532663,0.532663317,0.070351759,0.085427136,0.005025126
ADALBERTO,0.942028986,0.057971014,0,0,0
ADAM,0.01989418,0.961481481,0.006349206,0.01015873,0.002116402
ADAN,0.917808219,0.054794521,0.020547945,0.006849315,0
ADDIE,0.020408163,0.673469388,0.265306122,0.020408163,0.020408163
ADEL,0.090909091,0.714285714,0.051948052,0.142857143,0
ADELA,0.631147541,0.286885246,0,0.081967213,0
ADELAIDA,0.522727273,0.136363636,0,0.340909091,0
ADELAIDE,0.12195122,0.756097561,0.12195122,0,0
ADELE,0.005181347,0.937823834,0.025906736,0.025906736,0.005181347
ADELINA,0.629032258,0.258064516,0.016129032,0.080645161,0.016129032
ADELINE,0.106060606,0.651515152,0.075757576,0.151515152,0.015151515
ADINA,0.036363636,0.890909091,0.054545455,0.018181818,0
ADMIR,0,1,0,0,0
ADNAN,0,0.666666667,0.015151515,0.303030303,0.015151515
ADOLFO,0.87150838,0.100558659,0.005586592,0.022346369,0
ADOLPH,0.113636364,0.727272727,0.159090909,0,0
ADRIA,0.1,0.9,0,0,0
ADRIAN,0.36300578,0.492485549,0.110982659,0.026589595,0.006936416
ADRIANA,0.623721881,0.3599182,0.008179959,0.006134969,0.00204499
ADRIANE,0.068965517,0.75862069,0.155172414,0.017241379,0
ADRIANNA,0.433333333,0.5,0.033333333,0.033333333,0
ADRIANNE,0.031578947,0.894736842,0.063157895,0.010526316,0
ADRIENNE,0.020186335,0.833850932,0.127329193,0.01552795,0.00310559
AFSHIN,0,0.837837838,0,0.135135135,0.027027027
AGATA,0.020833333,0.979166667,0,0,0
AGATHA,0.027777778,0.611111111,0.166666667,0.166666667,0.027777778
AGNES,0.03125,0.678977273,0.107954545,0.176136364,0.005681818
AGNIESZKA,0.019230769,0.961538462,0.009615385,0.009615385,0
AGUSTIN,0.89958159,0.058577406,0.0041841,0.037656904,0
AHMAD,0.006134969,0.674846626,0.036809816,0.263803681,0.018404908
AHMED,0.011363636,0.653409091,0.085227273,0.227272727,0.022727273
AHMET,0.0625,0.90625,0,0.03125,0
AI,0.032258065,0.096774194,0,0.870967742,0
AIDA,0.457943925,0.378504673,0.009345794,0.154205607,0
AILEEN,0.091397849,0.655913978,0.021505376,0.225806452,0.005376344
AIMEE,0.027823241,0.934533552,0.003273322,0.031096563,0.003273322
AISHA,0.055555556,0.25,0.597222222,0.097222222,0
AJAY,0.006493506,0.253246753,0.006493506,0.707792208,0.025974026
AJIT,0.014705882,0.205882353,0,0.779411765,0
AKBAR,0,0.483870968,0,0.516129032,0
AKIKO,0.03030303,0.272727273,0.03030303,0.666666667,0
AL,0.054347826,0.739130435,0.108695652,0.086956522,0.010869565
ALAIN,0.140350877,0.666666667,0.105263158,0.078947368,0.00877193
ALAINA,0.018181818,0.945454545,0.018181818,0.018181818,0
ALAN,0.015015641,0.924713243,0.010636079,0.047966632,0.001668405
ALANA,0.052287582,0.849673203,0.08496732,0.013071895,0
ALANE,0,1,0,0,0
ALANNA,0,0.962264151,0,0.018867925,0.018867925
ALASTAIR,0,1,0,0,0
ALBA,0.82300885,0.168141593,0,0.008849558,0
ALBERT,0.095257732,0.750927835,0.074639175,0.075463918,0.00371134
ALBERTA,0.075757576,0.628787879,0.272727273,0.022727273,0
ALBERTO,0.81305638,0.111275964,0.004451039,0.068249258,0.002967359
ALDEN,0.078947368,0.789473684,0.026315789,0.105263158,0
ALDO,0.587719298,0.377192982,0,0.035087719,0
ALEC,0,0.899082569,0.018348624,0.082568807,0
ALECIA,0.02247191,0.786516854,0.168539326,0,0.02247191
ALEJANDRA,0.879781421,0.087431694,0,0.032786885,0
ALEJANDRO,0.901339829,0.069427527,0.001218027,0.028014616,0
ALEKSANDAR,0,1,0,0,0
ALEKSANDER,0,0.96969697,0,0,0.03030303
ALEKSANDR,0.005405405,0.983783784,0,0.010810811,0
ALEKSANDRA,0,1,0,0,0
ALEKSEY,0,0.962264151,0,0.037735849,0
ALEN,0.032258065,0.903225806,0,0.064516129,0
ALENA,0.017241379,0.862068966,0.086206897,0.034482759,0
ALENE,0,0.870967742,0.064516129,0.032258065,0.032258065
ALESHA,0.027777778,0.805555556,0.166666667,0,0
ALESIA,0.06122449,0.612244898,0.326530612,0,0
ALESSANDRA,0.088235294,0.911764706,0,0,0
ALESSANDRO,0.043478261,0.891304348,0.02173913,0.043478261,0
ALETA,0.020408163,0.897959184,0.081632653,0,0
ALEX,0.189642597,0.644055434,0.031363968,0.129832239,0.005105762
ALEXA,0.025641026,0.948717949,0.025641026,0,0
ALEXANDER,0.086782377,0.815309301,0.027592345,0.066310636,0.00400534
ALEXANDR,0,1,0,0,0
ALEXANDRA,0.107142857,0.85515873,0.011904762,0.01984127,0.005952381
ALEXANDRE,0.1,0.8375,0.025,0.0375,0
ALEXANDRIA,0.076086957,0.847826087,0.02173913,0.043478261,0.010869565
ALEXANDRU,0.064516129,0.935483871,0,0,0
ALEXEI,0,1,0,0,0
ALEXEY,0,1,0,0,0
ALEXIA,0,0.868421053,0.105263158,0.026315789,0
ALEXIS,0.14159292,0.776548673,0.050884956,0.028761062,0.002212389
ALF,0,1,0,0,0
ALFONSO,0.782157676,0.130705394,0.039419087,0.045643154,0.002074689
ALFRED,0.101859337,0.758286176,0.090541633,0.046887631,0.002425222
ALFREDA,0.028571429,0.228571429,0.714285714,0.028571429,0
ALFREDO,0.806404658,0.107714702,0.00727802,0.07860262,0
ALI,0.019455253,0.727626459,0.042801556,0.194552529,0.015564202
ALIA,0.066666667,0.733333333,0.033333333,0.166666667,0
ALICE,0.048881955,0.801352054,0.062922517,0.081643266,0.005200208
ALICIA,0.243746364,0.666666667,0.059336824,0.027341478,0.002908668
ALICJA,0,1,0,0,0
ALIDA,0.235294118,0.735294118,0.029411765,0,0
ALINA,0.211678832,0.729927007,0.02189781,0.03649635,0
ALINE,0.017241379,0.810344828,0.103448276,0.068965517,0
ALIREZA,0.01369863,0.931506849,0,0.054794521,0
ALISA,0.020710059,0.866863905,0.073964497,0.038461538,0
ALISHA,0.03286385,0.849765258,0.103286385,0.004694836,0.009389671
ALISON,0.007840342,0.962936565,0.012829651,0.015680684,0.000712758
ALISSA,0.013392857,0.955357143,0.017857143,0.008928571,0.004464286
ALISTAIR,0,1,0,0,0
ALIX,0.054054054,0.756756757,0.135135135,0.027027027,0.027027027
ALIZA,0.060606061,0.818181818,0.090909091,0,0.03030303
ALKA,0,0.166666667,0,0.805555556,0.027777778
ALLA,0.007936508,0.992063492,0,0,0
ALLAN,0.02066487,0.88230009,0.018867925,0.074573226,0.00359389
ALLEN,0.010460251,0.887552301,0.044979079,0.051778243,0.005230126
ALLENE,0,0.709677419,0.225806452,0.064516129,0
ALLISON,0.006200676,0.953776776,0.019165727,0.019165727,0.001691094
ALLYN,0.052631579,0.912280702,0.035087719,0,0
ALLYSON,0,0.960784314,0.031372549,0.007843137,0
ALMA,0.561374795,0.315875614,0.072013093,0.050736498,0
ALOK,0,0.222222222,0.027777778,0.722222222,0.027777778
ALON,0,0.909090909,0.03030303,0.060606061,0
ALONSO,0.823529412,0.137254902,0.019607843,0.019607843,0
ALONZO,0.185185185,0.345679012,0.444444444,0.024691358,0
ALPHONSE,0.020408163,0.836734694,0.142857143,0,0
ALPHONSO,0.071428571,0.142857143,0.767857143,0.017857143,0
ALTA,0,0.914893617,0.063829787,0.021276596,0
ALTAGRACIA,0.906976744,0.069767442,0,0.023255814,0
ALTHEA,0.025974026,0.415584416,0.506493506,0.051948052,0
ALTON,0.007874016,0.74015748,0.220472441,0.023622047,0.007874016
ALVA,0.253521127,0.535211268,0.154929577,0.056338028,0
ALVARO,0.871323529,0.125,0,0.003676471,0
ALVIN,0.038655462,0.623529412,0.210084034,0.127731092,0
ALYCE,0.019417476,0.902912621,0.067961165,0.009708738,0
ALYCIA,0.039215686,0.882352941,0.078431373,0,0
ALYSE,0,1,0,0,0
ALYSIA,0,1,0,0,0
ALYSON,0.010362694,0.96373057,0.015544041,0.010362694,0
ALYSSA,0.046728972,0.919003115,0.003115265,0.028037383,0.003115265
AMADO,0.6875,0.046875,0,0.265625,0
AMADOR,0.8,0.057142857,0,0.142857143,0
AMAL,0,0.673076923,0.076923077,0.25,0
AMALIA,0.576576577,0.342342342,0,0.072072072,0.009009009
AMANDA,0.031399317,0.943117179,0.012059158,0.009328783,0.004095563
AMAR,0.023255814,0.465116279,0.023255814,0.488372093,0
AMARJIT,0.022222222,0.155555556,0,0.822222222,0
AMBER,0.018625562,0.950545922,0.019910083,0.007707129,0.003211304
AMELIA,0.22095672,0.617312073,0.054669704,0.107061503,0
AMER,0,0.666666667,0,0.333333333,0
AMI,0.008695652,0.817391304,0.043478261,0.130434783,0
AMIE,0.013636364,0.927272727,0.036363636,0.022727273,0
AMIN,0.057692308,0.596153846,0.076923077,0.25,0.019230769
AMINA,0,0.466666667,0.266666667,0.266666667,0
AMIR,0.019138756,0.755980861,0.023923445,0.181818182,0.019138756
AMIT,0,0.248927039,0.004291845,0.738197425,0.008583691
AMITA,0,0.260869565,0,0.673913043,0.065217391
AMOS,0.077669903,0.650485437,0.223300971,0.048543689,0
AMPARO,0.862068966,0.08045977,0,0.057471264,0
AMY,0.009923274,0.955601023,0.003580563,0.028439898,0.002455243
AN,0,0.036036036,0,0.963963964,0
ANA,0.732487923,0.234299517,0.009057971,0.02294686,0.001207729
ANABEL,0.836734694,0.12244898,0,0.040816327,0
ANAND,0.00729927,0.218978102,0,0.744525547,0.02919708
ANASTASIA,0.006369427,0.949044586,0.025477707,0.012738854,0.006369427
ANATOLIY,0,1,0,0,0
ANATOLY,0,0.976190476,0,0.023809524,0
ANCA,0,1,0,0,0
ANDERS,0,0.981132075,0,0.018867925,0
ANDERSON,0.191489362,0.319148936,0.340425532,0.14893617,0
ANDRA,0,0.897058824,0.088235294,0,0.014705882
ANDRE,0.05509182,0.569282137,0.337228715,0.033388982,0.005008347
ANDREA,0.042704626,0.897508897,0.04911032,0.008066429,0.002609727
ANDREAS,0.006097561,0.957317073,0.018292683,0.018292683,0
ANDREI,0.025641026,0.923076923,0.025641026,0.025641026,0
ANDRES,0.838174274,0.126556017,0.004149378,0.029045643,0.002074689
ANDREW,0.01882138,0.932115121,0.016902695,0.030698949,0.001461855
ANDREY,0.00877193,0.973684211,0,0.01754386,0
ANDRIA,0.033333333,0.8,0.116666667,0.05,0
ANDRIY,0,1,0,0,0
ANDRZEJ,0,1,0,0,0
ANDY,0.063063063,0.527927928,0.016216216,0.385585586,0.007207207
ANETA,0,1,0,0,0
ANGEL,0.691441441,0.226351351,0.037162162,0.042792793,0.002252252
ANGELA,0.048507463,0.856187811,0.071672886,0.019745025,0.003886816
ANGELIA,0.04,0.74,0.2,0.01,0.01
ANGELICA,0.713024283,0.247240618,0.004415011,0.033112583,0.002207506
ANGELIKA,0,0.913043478,0,0.086956522,0
ANGELINA,0.342465753,0.503424658,0.034246575,0.109589041,0.010273973
ANGELINE,0.00990099,0.792079208,0.03960396,0.158415842,0
ANGELIQUE,0.050359712,0.776978417,0.151079137,0.021582734,0
ANGELITA,0.395348837,0.162790698,0.046511628,0.38372093,0.011627907
ANGELO,0.104938272,0.847736626,0.030864198,0.014403292,0.002057613
ANGIE,0.102902375,0.775725594,0.026385224,0.094986807,0
ANGUS,0,0.953488372,0,0.046511628,0
ANH,0.005434783,0.043478261,0,0.951086957,0
ANI,0.022727273,0.818181818,0.045454545,0.113636364,0
ANIBAL,0.888888889,0.111111111,0,0,0
ANIL,0.009302326,0.181395349,0.009302326,0.795348837,0.004651163
ANILA,0,0.466666667,0,0.5,0.033333333
ANISSA,0.020408163,0.795918367,0.163265306,0.020408163,0
ANITA,0.066400399,0.768347479,0.077383924,0.082875686,0.004992511
ANJA,0.028571429,0.914285714,0.057142857,0,0
ANJALI,0,0.235294118,0,0.764705882,0
ANJANA,0,0.242424242,0,0.757575758,0
ANJANETTE,0.058823529,0.676470588,0.264705882,0,0
ANJU,0,0.151515152,0,0.818181818,0.03030303
ANKUR,0.03030303,0.121212121,0.03030303,0.818181818,0
ANN,0.009124442,0.948553679,0.015725102,0.02446127,0.002135508
ANNA,0.074394981,0.847624739,0.022109352,0.053779504,0.002091425
ANNABEL,0.21875,0.59375,0.09375,0.09375,0
ANNABELLE,0.057142857,0.7,0.014285714,0.214285714,0.014285714
ANNALISA,0,0.947368421,0.026315789,0.026315789,0
ANNAMARIA,0.162162162,0.810810811,0,0.027027027,0
ANNAMARIE,0.102941176,0.867647059,0,0.014705882,0.014705882
ANNE,0.007313046,0.960368011,0.008964378,0.021467327,0.001887238
ANNELIESE,0.03125,0.96875,0,0,0
ANNEMARIE,0,0.975609756,0.018292683,0.006097561,0
ANNETTA,0.020833333,0.75,0.1875,0.020833333,0.020833333
ANNETTE,0.061346039,0.823704586,0.097081596,0.015485408,0.00238237
ANNIE,0.035168196,0.449541284,0.308868502,0.20030581,0.006116208
ANNMARIE,0.015957447,0.946808511,0.031914894,0.005319149,0
ANSELMO,0.711111111,0.222222222,0,0.066666667,0
ANSON,0,0.583333333,0.027777778,0.388888889,0
ANTHONY,0.050991776,0.841606193,0.071988389,0.031543299,0.003870343
ANTJE,0,1,0,0,0
ANTOINE,0.028846154,0.538461538,0.403846154,0.028846154,0
ANTOINETTE,0.059405941,0.762376238,0.154455446,0.015841584,0.007920792
ANTON,0.010869565,0.891304348,0.059782609,0.032608696,0.005434783
ANTONELLA,0,0.972222222,0,0,0.027777778
ANTONETTE,0.068181818,0.818181818,0.090909091,0.022727273,0
ANTONIA,0.472527473,0.424908425,0.054945055,0.036630037,0.010989011
ANTONIETTA,0.029411765,0.941176471,0,0.029411765,0
ANTONINA,0.054054054,0.810810811,0,0.135135135,0
ANTONINO,0.279069767,0.697674419,0,0.023255814,0
ANTONIO,0.563358779,0.316030534,0.052417303,0.066157761,0.002035623
ANTONY,0.010416667,0.770833333,0.041666667,0.166666667,0.010416667
ANUP,0,0.176470588,0,0.823529412,0
ANURADHA,0,0.1,0,0.9,0
ANWAR,0,0.405405405,0.108108108,0.459459459,0.027027027
APARNA,0,0.227272727,0,0.772727273,0
APRIL,0.027075812,0.884476534,0.067388688,0.016847172,0.004211793
ARA,0,0.948275862,0.017241379,0.034482759,0
ARACELI,0.848167539,0.089005236,0,0.057591623,0.005235602
ARACELY,0.93877551,0.06122449,0,0,0
ARAM,0.026315789,0.947368421,0,0.026315789,0
ARASH,0.03030303,0.757575758,0,0.181818182,0.03030303
ARCELIA,0.875,0.125,0,0,0
ARCHANA,0,0.16,0,0.82,0.02
ARCHIE,0.02238806,0.634328358,0.291044776,0.029850746,0.02238806
ARDEN,0,0.846153846,0.134615385,0.019230769,0
ARDIS,0,0.967741935,0.032258065,0,0
ARI,0.027777778,0.916666667,0,0.055555556,0
ARIANA,0.333333333,0.6,0,0.044444444,0.022222222
ARIANNE,0.0625,0.875,0.0625,0,0
ARIC,0.035714286,0.928571429,0.017857143,0.017857143,0
ARIE,0.032258065,0.870967742,0.064516129,0.032258065,0
ARIEL,0.408602151,0.456989247,0.021505376,0.112903226,0
ARIF,0.027777778,0.305555556,0,0.666666667,0
ARKADIUSZ,0,1,0,0,0
ARKADY,0,1,0,0,0
ARLA,0,1,0,0,0
ARLEEN,0.020408163,0.857142857,0.06122449,0.06122449,0
ARLEN,0.02173913,0.97826087,0,0,0
ARLENE,0.046697039,0.848519362,0.055808656,0.046697039,0.002277904
ARLETTE,0.1,0.666666667,0.166666667,0.066666667,0
ARLIE,0,1,0,0,0
ARLINE,0.046511628,0.860465116,0.023255814,0.069767442,0
ARLYN,0.058823529,0.794117647,0.029411765,0.117647059,0
ARMAND,0.038961039,0.857142857,0.012987013,0.090909091,0
ARMANDO,0.840597758,0.098381071,0.00249066,0.057285181,0.00124533
ARMEN,0.022988506,0.942528736,0,0.034482759,0
ARMIDA,0.761904762,0.214285714,0,0.023809524,0
ARMIN,0,0.935483871,0,0.064516129,0
ARNALDO,0.675675676,0.189189189,0,0.135135135,0
ARNE,0,0.928571429,0.071428571,0,0
ARNEL,0.027027027,0.162162162,0,0.810810811,0
ARNO,0,1,0,0,0
ARNOLD,0.074796748,0.782113821,0.073170732,0.069918699,0
ARNOLDO,0.945454545,0.054545455,0,0,0
ARNULFO,0.897959184,0.020408163,0,0.081632653,0
ARON,0.045977011,0.91954023,0.011494253,0.022988506,0
ARSEN,0,1,0,0,0
ARSENIO,0.351351351,0.324324324,0.027027027,0.297297297,0
ART,0.166666667,0.678571429,0.047619048,0.107142857,0
ARTEMIO,0.759259259,0.018518519,0,0.222222222,0
ARTHUR,0.061681599,0.83115093,0.070985527,0.033769814,0.00241213
ARTI,0.057142857,0.314285714,0.028571429,0.6,0
ARTUR,0.028169014,0.957746479,0,0,0.014084507
ARTURO,0.871328671,0.07972028,0,0.047552448,0.001398601
ARUN,0.007633588,0.259541985,0.007633588,0.717557252,0.007633588
ARUNA,0,0.238095238,0,0.738095238,0.023809524
ARVIN,0.138888889,0.611111111,0,0.25,0
ARVIND,0,0.273972603,0,0.698630137,0.02739726
ASA,0.027777778,0.861111111,0.111111111,0,0
ASHA,0,0.195121951,0.085365854,0.719512195,0
ASHISH,0,0.152542373,0,0.847457627,0
ASHLEE,0.00877193,0.973684211,0.01754386,0,0
ASHLEIGH,0.011363636,0.965909091,0.022727273,0,0
ASHLEY,0.016288041,0.936990999,0.036005144,0.009858551,0.000857265
ASHLIE,0.078947368,0.921052632,0,0,0
ASHOK,0.00591716,0.183431953,0,0.792899408,0.017751479
ASHRAF,0,0.818181818,0,0.181818182,0
ASHTON,0,0.823529412,0.147058824,0,0.029411765
ASHWIN,0.026315789,0.342105263,0,0.605263158,0.026315789
ASIF,0.025641026,0.333333333,0,0.641025641,0
ASIM,0,0.419354839,0,0.548387097,0.032258065
ASMA,0,0.363636364,0.03030303,0.575757576,0.03030303
ASTRID,0.166666667,0.75,0.016666667,0.066666667,0
ATHANASIOS,0,1,0,0,0
ATHENA,0.068627451,0.852941176,0.039215686,0.039215686,0
ATUL,0,0.153846154,0,0.846153846,0
AUBREY,0.015306122,0.841836735,0.107142857,0.030612245,0.005102041
AUDRA,0.047368421,0.878947368,0.068421053,0,0.005263158
AUDREY,0.017857143,0.847222222,0.107142857,0.023809524,0.003968254
AUGUST,0.022727273,0.962121212,0,0.015151515,0
AUGUSTIN,0.484848485,0.333333333,0.121212121,0.060606061,0
AUGUSTINE,0.261363636,0.363636364,0.238636364,0.136363636,0
AUGUSTO,0.557142857,0.214285714,0.014285714,0.214285714,0
AUGUSTUS,0,0.72972973,0.216216216,0.054054054,0
AURA,0.655737705,0.278688525,0.016393443,0.049180328,0
AUREA,0.625,0.0625,0,0.3125,0
AURELIA,0.449275362,0.463768116,0.043478261,0.043478261,0
AURELIO,0.810810811,0.135135135,0,0.054054054,0
AURORA,0.509803922,0.259803922,0.024509804,0.205882353,0
AUSTIN,0.002538071,0.890862944,0.050761421,0.050761421,0.005076142
AUTUMN,0.012195122,0.957317073,0.018292683,0.012195122,0
AVA,0.036363636,0.690909091,0.190909091,0.063636364,0.018181818
AVELINO,0.53125,0.09375,0,0.375,0
AVERY,0,0.735632184,0.24137931,0.022988506,0
AVI,0.054054054,0.918918919,0,0.027027027,0
AVIS,0,0.666666667,0.333333333,0,0
AVIVA,0,1,0,0,0
AXEL,0.242424242,0.666666667,0.090909091,0,0
AYANNA,0,0,1,0,0
AZIZ,0.022727273,0.681818182,0.068181818,0.227272727,0
AZUCENA,0.80952381,0.095238095,0,0.095238095,0
BA,0,0,0,1,0
BABAK,0,0.911764706,0.029411765,0.058823529,0
BABETTE,0,0.941176471,0,0.058823529,0
BAHMAN,0,0.838709677,0.032258065,0.096774194,0.032258065
BAHRAM,0,0.916666667,0,0.083333333,0
BAILEY,0,0.977777778,0,0.022222222,0
BALAJI,0.021276596,0.127659574,0.021276596,0.808510638,0.021276596
BALDEV,0,0.303030303,0,0.636363636,0.060606061
BALTAZAR,0.867924528,0.037735849,0.018867925,0.075471698,0
BALWINDER,0,0.242424242,0,0.757575758,0
BAMBI,0,0.956521739,0.02173913,0.02173913,0
BAO,0,0.018018018,0,0.963963964,0.018018018
BARBARA,0.01625953,0.930683056,0.045511125,0.00583476,0.001711529
BARBRA,0.03030303,0.924242424,0.045454545,0,0
BARNEY,0.046153846,0.769230769,0.092307692,0.092307692,0
BARRETT,0,0.967032967,0.021978022,0.010989011,0
BARRIE,0,1,0,0,0
BARRON,0,0.709677419,0.258064516,0,0.032258065
BARRY,0.005964215,0.951491054,0.029025845,0.010337972,0.003180915
BART,0.007168459,0.967741935,0.007168459,0.017921147,0
BARTHOLOMEW,0.021276596,0.787234043,0.14893617,0.021276596,0.021276596
BARTLEY,0,1,0,0,0
BARTON,0.013157895,0.980263158,0,0.006578947,0
BASIL,0.013157895,0.907894737,0.078947368,0,0
BASSAM,0,0.886792453,0,0.094339623,0.018867925
BAXTER,0,1,0,0,0
BEATA,0,0.962962963,0,0.037037037,0
BEATE,0,0.967741935,0,0.032258065,0
BEATRICE,0.141304348,0.619565217,0.192934783,0.038043478,0.008152174
BEATRIZ,0.790262172,0.164794007,0.007490637,0.037453184,0
BEAU,0,0.98,0,0.013333333,0.006666667
BECKIE,0,1,0,0,0
BECKY,0.020806242,0.934980494,0.007802341,0.035110533,0.00130039
BELEN,0.5625,0.1875,0.020833333,0.229166667,0
BELINDA,0.101476015,0.70295203,0.142066421,0.046125461,0.007380074
BELLA,0.031746032,0.746031746,0.015873016,0.19047619,0.015873016
BEN,0.033123028,0.771293375,0.036277603,0.15615142,0.003154574
BENEDETTO,0,1,0,0,0
BENEDICT,0.041666667,0.645833333,0.0625,0.239583333,0.010416667
BENIGNO,0.8,0.033333333,0,0.166666667,0
BENITA,0.189473684,0.494736842,0.231578947,0.084210526,0
BENITO,0.801470588,0.088235294,0.007352941,0.102941176,0
BENJAMIN,0.068761815,0.8518431,0.029064272,0.046786389,0.003544423
BENNETT,0,0.913043478,0.043478261,0.043478261,0
BENNIE,0.047297297,0.614864865,0.324324324,0.006756757,0.006756757
BENNY,0.090047393,0.616113744,0.056872038,0.213270142,0.023696682
BENSON,0,0.404255319,0.063829787,0.531914894,0
BENTON,0.025641026,0.897435897,0,0.051282051,0.025641026
BERNABE,0.709677419,0.032258065,0,0.258064516,0
BERNADETTE,0.084821429,0.75,0.089285714,0.068452381,0.007440476
BERNADINE,0.04,0.75,0.17,0.04,0
BERNARD,0.017684887,0.844855305,0.102090032,0.033762058,0.001607717
BERNARDINO,0.742857143,0.142857143,0,0.114285714,0
BERNARDO,0.721804511,0.090225564,0.022556391,0.165413534,0
BERNHARD,0,0.981481481,0,0.018518519,0
BERNICE,0.059561129,0.652037618,0.263322884,0.02507837,0
BERNIE,0.115384615,0.705128205,0.051282051,0.128205128,0
BERT,0.01010101,0.898989899,0.01010101,0.080808081,0
BERTA,0.566666667,0.383333333,0.033333333,0.016666667,0
BERTHA,0.615034169,0.25284738,0.120728929,0.009111617,0.002277904
BERTRAM,0,0.6,0.311111111,0.088888889,0
BERTRAND,0.024390244,0.682926829,0.195121951,0.073170732,0.024390244
BERYL,0,0.863636364,0.090909091,0.03030303,0.015151515
BESSIE,0.040983607,0.491803279,0.409836066,0.057377049,0
BETH,0.00517722,0.985663082,0.003584229,0.004380725,0.001194743
BETHANN,0,1,0,0,0
BETHANNE,0,1,0,0,0
BETHANY,0.006677796,0.969949917,0.011686144,0.006677796,0.005008347
BETSY,0.039761431,0.914512922,0.015904573,0.027833002,0.001988072
BETTE,0.012345679,0.969135802,0.012345679,0.00617284,0
BETTIE,0.011363636,0.647727273,0.318181818,0.011363636,0.011363636
BETTINA,0.066666667,0.8,0.088888889,0.033333333,0.011111111
BETTY,0.029565217,0.822956522,0.104695652,0.039652174,0.003130435
BETTYE,0,0.576923077,0.41025641,0,0.012820513
BEULAH,0,0.657142857,0.314285714,0.028571429,0
BEVERLEY,0.009615385,0.875,0.096153846,0.009615385,0.009615385
BEVERLY,0.015348682,0.878545212,0.091424758,0.011344678,0.00333667
BHARAT,0,0.215189873,0,0.772151899,0.012658228
BHAVNA,0.027027027,0.216216216,0,0.756756757,0
BHUPINDER,0,0.225806452,0.064516129,0.64516129,0.064516129
BIANCA,0.345132743,0.584070796,0.061946903,0.008849558,0
BIBI,0.055555556,0.333333333,0.037037037,0.537037037,0.037037037
BIJAN,0,0.864864865,0,0.135135135,0
BILL,0.027118644,0.838983051,0.027118644,0.103389831,0.003389831
BILLIE,0.021929825,0.899122807,0.059210526,0.010964912,0.00877193
BILLY,0.029827316,0.843014129,0.078492936,0.040031397,0.008634223
BIN,0,0.031578947,0,0.968421053,0
BINA,0.03125,0.25,0,0.625,0.09375
BING,0.020618557,0.06185567,0,0.917525773,0
BINH,0.014084507,0.042253521,0,0.943661972,0
BIPIN,0,0.34375,0.03125,0.5625,0.0625
BIRGIT,0,0.976190476,0,0.023809524,0
BIRGITTA,0,1,0,0,0
BJORN,0,1,0,0,0
BLAINE,0,0.975369458,0.014778325,0.004926108,0.004926108
BLAIR,0.003690037,0.970479705,0.022140221,0.003690037,0
BLAISE,0,0.882352941,0.088235294,0.029411765,0
BLAKE,0.007054674,0.970017637,0.010582011,0.012345679,0
BLANCA,0.91206544,0.079754601,0.00204499,0.006134969,0
BLANCHE,0.010989011,0.802197802,0.131868132,0.021978022,0.032967033
BLAS,0.9375,0.0625,0,0,0
BLYTHE,0.027027027,0.945945946,0,0.027027027,0
BO,0,0.246268657,0,0.73880597,0.014925373
BOB,0.01171875,0.85546875,0.02734375,0.1015625,0.00390625
BOBBI,0.016759777,0.972067039,0,0.005586592,0.005586592
BOBBIE,0.017199017,0.808353808,0.157248157,0.004914005,0.012285012
BOBBY,0.029229407,0.781222321,0.137289637,0.0425155,0.009743136
BOGDAN,0,0.987341772,0,0.012658228,0
BOGUSLAW,0,1,0,0,0
BOHDAN,0,1,0,0,0
BONG,0,0.057142857,0,0.942857143,0
BONIFACIO,0.698113208,0.037735849,0,0.245283019,0.018867925
BONITA,0.012944984,0.860841424,0.116504854,0.009708738,0
BONNI,0,1,0,0,0
BONNIE,0.008030726,0.966829609,0.01047486,0.013268156,0.001396648
BONNY,0,0.952380952,0.015873016,0.031746032,0
BORIS,0.046428571,0.914285714,0.028571429,0.010714286,0
BOYD,0.005263158,0.963157895,0.015789474,0.010526316,0.005263158
BOZENA,0,1,0,0,0
BRAD,0.00348675,0.979079498,0.009762901,0.00348675,0.0041841
BRADD,0,1,0,0,0
BRADEN,0,0.984848485,0,0,0.015151515
BRADFORD,0.005263158,0.961403509,0.01754386,0.015789474,0
BRADLEY,0.002210555,0.988670904,0.001934236,0.005250069,0.001934236
BRADLY,0.014084507,0.985915493,0,0,0
